几天了怎么还没退款,退款预计1-3个工作日原路返回到账，您注意查收,20221206 16:01:39
用户提供寄回支付宝账号支付宝名字陈权运费10元辛苦处理,入库后为您处理呢~,20221118 18:08:02
这个迪士尼透明仓蓝牙耳机LY-311耳机一边用不了电是充满的，就是启动不了,建议您录屏下这边发给商家核实处理方案的,20230307 11:26:57
就是这个音频对应的是橱窗里的哪本水浒传？,内容是会有区别的哦,20221217 23:08:59
蛋蛋妈读的水浒传是哪一套啊？她橱窗里好几套,您提供下您看的商品页面截图。离线,20221217 23:00:20
,可以拒收后，在APP内申请退款哦,20230407 21:37:10
未发货的这个退款,未发货的这个您在【APP-我的-全部服务-订单】申请退款即可,20230407 21:38:59
订单无法支付，显示太热情,这边建议您先清除缓存（下载内容跟草稿箱内容就没有了），手机重启或者APP更新一下哦，如果还是不行的话，您再联系下我们帮您反馈技术人员处理，非常抱歉，给您带来不便,20230317 12:53:29
请问一下在商城里买东西需要花钱吗？,有一些是需要积分+现金您可以在商城查看哦具体以页面显示为准哦,20221215 15:41:54
在商城中，有没有除了优惠券以外的东西可以不用钱买,喜马拉雅app-我的-商城-积分商城。实物商品是需要积分+现金,20221217 16:37:52
用户诉求手串的周长有多长,辛苦您提供下商品页面截图呢,20230327 00:02:22
和艾肯up4套餐双十一没有优惠么？,优惠活动需要辛苦以页面显示为准,20221112 16:22:00
因为他们规定的不支持七天无理由退款，所以问不能直接申请退款，那我现在就等着他们给我退款就好了吗,是的耐心等待到账即可了哦,20230221 14:08:00
寄东西的费用是本人出还是商家支付,运费这边反馈核实,20230218 21:32:44
东西已经发货了,核实前咨询单告知耐心等待签收后联系客服核实是否解决：,20230219 14:53:20
我之前有提交订单，但是在付款的时候选微信和支付宝点确没有反应。然后呢退出之后第二次提交订单，就提示说有订单未支付，请前往订单中心。,在手机app端caoz,20221122 20:42:44
买了两天了一直没发货，如果货物有质量问题我怎么售后,显示您昨天下单的，辛苦您耐心等待下发货哦，货物有质量问题可以联系我们反馈商家核实哦,20230426 11:43:32
《蒙曼讲红楼梦》专辑+实体书,用户不想退款，已反馈申请补发,20221231 11:35:49
能帮我查查我那本书的物流吗,补发目前也不能确定时效。再催促下,20230112 21:58:12
智慧道德说橱窗里有3本道德经，主播播放的是哪本？,查看这个的主播个人橱窗书籍需要辛苦私信下主播咨询下哦,20230225 23:38:15
物流3天没更新,催促,20230102 20:42:46
想问下这款毛巾的颜色拍下发什么颜色,您是需要什么颜色这边尝试为您反馈商家核实下是否可以备注,20230102 20:56:55
我的订单什么时候能发货电商,反馈核实短信告知,20230405 19:34:56
商城的东西多久能发货,私信,20221206 08:21:56
喜马拉雅×keep能量礼盒购买了联合会员，怎么还不是vip,是实体卡,20230113 19:35:15
哪里发货，什么快递,亲亲看的是哪款商品呢？离线,20230415 19:52:11
没有电子说明书发我一份,首次使用需要先将耳机底部的蓝色薄膜撕下之后充满电链接配对使用,20221224 23:11:36
第一步：把橘子放到烤箱调到180度第二步：关上烤箱门过了一会烤箱就黑了,发群,20221228 15:24:12
狂神是有声书吗,请问您说的是电子专辑还是实体书,20230218 16:18:03
您好，在商城下单的东西一直不发货什么原因,这边帮您反馈催促下哦,20230206 20:00:02
买小雅送人会员也可以一起送他人吗,这个会员是会直接到账购买音箱的账号,20230415 18:12:56
物流不更新电商所属供应商名称：深圳市万物生供应链有限公司,截图告知物流信息，认可离线,20230402 20:00:15
我怎么把素材放到早教机里,这个无法操作呢,20221217 18:22:31
请问那个北京科技版的法布尔昆虫记商品本身带不带音频呢？,没有音频的,20230111 21:21:31
你好买壶还送会员吗？,目前并未有查看到该活动的,20230228 10:09:30
快递咋不动了？,告知物流信息,20221207 11:25:42
我的快递三天怎么还没发出,物流目前查看是停滞状态帮您反馈商家核实一下呢是否解决：,20221106 13:05:32
我这卡片找不到了，能补吗？电商,人为原因丢失无法补发的哦，非常抱歉,20230327 10:28:29
请问购买图书有赠品吗？,辛苦截图下您描述的页面,20230104 08:14:09
撤销退款改地址,告知退款，用户离线,20221117 12:46:28
领卷的商品，不是免单付邮费吗，我自己去发货地拿，不要邮寄可以吗,非常抱歉暂时不支持的呢~,20221214 12:41:00
能发货不不能就退钱,这边为您反馈处理退款,20230106 13:06:00
喜马拉雅会员什么时候到账？,是需要收到后激活到账的呢实物商品将在付款后48小时左右发货，受疫情影响，可能存在延缓发货/配送、商品无货的情况，收货地区仅限中国大陆地区，暂不支持港澳台地区及海外用户收货，给您带来的不便敬请谅解，感谢您的理解!,20221223 22:20:48
地球仪寄送收到后碎裂,核实订单信息，li离线,20221208 22:43:57
我问你这个音响是一个喇叭的还是两个的单ID:,需要反馈商家核实下哦,20221127 22:34:07
我买的耳机什么时候发货,核实私信,20230213 12:25:13
发的耳机和收到的不一样,按照地址寄回，寄出后联系客服提供寄出单号,20230217 17:58:16
报销运费,您的支付宝账号和真实姓名以及运费支付截图辛苦提供下,20230223 19:07:53
用户再次进线催促发货,这边尽快再催促一下发货,20230224 13:37:03
我买的耳机怎么还不发货,这边帮您催促下发货哦,20230211 21:55:48
用户催促发货,反馈商家催促,20230109 12:19:13
你们刚才有人给我打来电话说我的订单用顺丰发出了,这边核实到这个快递是今天刚邮寄的，物流信息还未更新的呢辛苦您明天晚些时候查看哦,20230110 17:13:17
我在商场买了奶粉和玩具，什么时候可以发货,实物商品将在付款后48小时左右发货,20230108 17:22:56
我收到的奶粉包装很旧很脏21年生产的,辛苦麻烦您提供一下收到的商品图片这边需要为您反馈商家核实一下处理的呢,20230110 17:51:36
需要退款未发货,处理退款,20221203 09:40:34
因为我着急用钱，可以帮忙处理一下退款,尽快到账,20221203 15:31:38
兑换的话有运费吗？退货的话有运费险吗？,一般商品均是包邮的，商品非质量问题退货是不予补偿运费,20221221 15:29:22
西安能发货吗,亲，目前全国疫情，各地可能均会有延迟的呢,20221221 15:23:11
订单退款,帮其申请，用户离线,20221208 16:41:44
退款是你们申请还是我这边申请,这边为您反馈，用户离线,20221208 16:50:28
订单退回显示入库，辛苦退款,反馈，用户离线,20230221 08:12:25
中国邮政有个货物帮忙看下到哪里了春节的时候没有发,这边催促一下商家哦是否解决：,20230201 21:26:08
今天十一号我还没收到,核实咨询单：35272838告知具体的物流进度,20230211 22:16:36
飞利浦那个吹风机，是官方店的吧,商城售卖的都是正品的呢，有任何问题可以联系小喜,20221213 13:09:21
可以修改地址嘛？(福建省福州市闽侯县南屿镇中溪村溪坂55号_,这边记录为您反馈商家,20221215 13:19:53
所以是品牌官方店的嘛,这个都是正品的呢，出现任何问题可以联系小喜的,20221213 13:08:39
这个会员套餐是一年的吗兑换的瑜伽垫需要我自己出邮费吗,这个是需要您收到后有兑换码因为这个是兑换码兑换的商品应该是不需要的是否解决：,20221222 21:56:00
这个件我只收到了便签，没有浴巾！,这边尽快为您核实处理哈是否解决：,20221212 15:16:03
催促退款。,催促,20221116 21:07:04
需要退款，,您可以在订单申请一下退款,20221116 21:09:04
我买的耳机充不上电是为啥,和充电器的头，换一下充电试试的,20230228 12:57:41
我要退款质然良品手机支架,已发群催促处理退款，告知1-3个工作日完成退款的哦，辛苦您留意到账哦,20230225 18:43:07
如何输入收货地址？,您可以在喜马拉雅app-我的-商城-小雅硬件点击一个商品进去点击下单上方有添加地址的位置，不要支付哦,20230125 21:42:24
8女神节里面的迪奥是正品么,商城售卖的商品都是有质量保证的呢如有任何问题随时联系我们处理即可呢,20230302 18:06:11
物流3天没更新了,这边为您催促一下呢辛苦后续关注一下物流是否更新呢,20230223 18:25:46
帮忙退款审核通过,反馈处理，用户离线是否解决：,20221027 19:41:22
【买1得2】喜马拉雅VIP年卡+驿客20寸交织条纹款拉杆箱黑色，未发货，申请退款处理,反馈处理退款,20221105 19:35:53
什么时候有货,这个还未收到补货通知呢，还请理解,20230102 11:06:02
催促发货,是定制商品，制作需要一定的时间，预计4月18日左右发货，还请您耐心等待,20230416 17:10:34
我的订单快三天了没有发货,跟进催促，建议耐心等待,20230415 15:30:03
配送异常是怎么回事,快件因【收件地址不详】正在为您核实，如有疑问请致电丰网官方客服热线：95181,20230418 13:28:49
购买了会员加赠50天怎么没有,核实相关账号告知套餐不享受,20230424 17:13:34
九阳（）ZMD安心系列空气炸锅4.5L大容量家用智能不沾易清洗准确定时无油煎炸薯条，申请退款,已反馈,20221105 16:44:19
科颜氏（Kiehl's）金盏花植萃爽肤水500ml，怎么还没有发货呢,反馈催促,20221107 14:00:47
不符合呢,没有理解您的意思的，用户再次进线，已告知问题需要反馈核实,20221108 19:51:32
用户反馈自己买错了，要退款从新购买,告知核实到已经申请退款了，辛苦等待退款,20230426 14:03:42
催促发货,已发群催促发货,20230426 15:49:43
用户退款辛苦拦截物流,反馈厂家,20230210 09:16:35
申请退款,已申请,20230211 17:43:37
年卡赠送漫步者耳机什么时候能有货现在缺货状,目前还未有到货通知呢，辛苦您后续关注哦,20230128 09:25:12
是礼盒吗？这个三本书是罗振宇说的礼盒吗？,提供下查看的套餐截图,20221231 21:49:05
京东对接，未发货退款,催促，用户离线是否解决：,20221222 15:19:10
我购买的红包至今未收到，想申请退款因为已经没用了,这边为您反馈商家为您处理退款哦，辛苦您后续注意查收哦,20230201 17:24:13
一直没有收到货，中通快递在12月时派送过，放在丰巢，可是我没有收到取件信息，超时被快递员取回，后来就一直没有再派送。找客服反馈后商家重新寄了，可是又是中通，又从1月14日开始又一直在派送，结果在前几天自动收货了，而且签收的还是“补”字，我都不知道什么意思。中通快递这几个月非常不作为，我们小区很多快递都是中通出现异常，中通的件就摆在露天堆放，一直不派件。因为这个商品到如今已经三个月了，没有完成，我也因为找快递付出不少心力，我只要求退款。退款！！！,核实物流，用户离线是否解决：,20230214 20:52:48
我收到短信了。不能发货。已经退款了,已发群,20230109 16:42:59
耳机只有一边响长按十秒没反应,核实中用户离线,20230426 19:47:44
你好，我想问问从哪里可以买到咱们的那种日历,喜马拉雅APP-我的-商城内查看,20221209 10:08:35
触摸屏应用技术这本书是听的还是看的？,实体书籍,20221221 19:20:07
能现在就给退款吗？,车载折叠垃圾桶4L，是该订单吗,20221204 19:12:02
【买一得】喜马拉雅VIP年卡+乐高热门玩具三选一、地址错误物流无法派送，退款,查看用户已申请退款，会员已回收，反馈处理退款，已告知用户可以在购买其他套餐,20221101 16:05:46
那个我想问一下我的订单改收货地址了吗,目前是正在邮寄当中呢~78635040982183中通,20221117 20:36:13
右耳充不了电而且辐射范围很小,辛苦您录制视频发送下呢,20230422 18:29:34
【买1得2】VIP会员1年+漫步者X2真无线蓝牙5.1迷你耳机音乐通话游戏吃鸡运动手机通用耳塞这是一个耳机还是两个耳机,漫步者X2是耳机的名称的一个的,20230313 19:24:37
下单之后预计多久能发出呢,预计48小时内为您发出哦,20221101 19:51:12
用户催促一直没有物流，辛苦处理,帮其催促，用户离线是否解决：,20221110 16:39:53
用户取消退款,告知撤销反馈的退款，一般是48小时内发货的哦疫情原因是可能会延迟发货,20221031 23:41:34
界面KN95立体口罩独立包装20片装（白色款），重复购买需要退款,告知订单申请，反馈，因用户取消退款所以未反馈。,20221031 23:40:01
我的订单正常发就行我这边解封了,这边为您在催促一下尽快发货呢~,20221116 21:54:50
这个请问是下架了吗，积分商城没看见,积分商城没有的就是不在积分商城售卖了,20221126 09:54:24
用户催促发货，告知已帮您催促，实物商品将在付款后48小时内发货，收货地区仅限中国大陆地区，暂不支持港澳台地区及海外用户收货，受疫情影响可能延缓发货，还请您了解,催促，用户离线是否解决：,20230209 12:55:21
购买那个蓝牙耳机苹果手机可以用吗？,2023-04-2407:37购买的【买1得2】VIP会员1年+X2黑色，这个的吗，,20230424 12:38:33
我购买的会员带的耳机。啥时候发货啊,受全国春运及疫情的影响，商城中的商品将在春节期间（1月10日-1月30日）暂停发货，从1月30日起恢复正常，陆续开始发货~,20230128 13:05:18
不发货吗？,帮您催促一下商家哦是否解决：,20221030 19:14:30
地址因为疫情没办法派送，现需要更改地址更改地址为，海南省五指山市教师村6栋，陈匀华收，,已发出，尝试反馈修改试试,20221229 12:01:20
退款,退款预计1-3个工作日原路返回到账，您注意查收。催促处理,20221222 16:04:49
为什么我申请的购买商品退货一直没有退,转接进线订单离线,20230110 10:14:58
催促发货，辛苦处理下,催促,20221225 22:17:59
咨询退款申请步骤,喜马拉雅app-我的-全部服务-订单点击商品订单进去，点击售后按键申请的呢,20221225 22:22:35
这个坏了有售后嘛不知道一个耳机没声音了,这边帮您反馈商家核实一下哦,20230316 11:24:04
需要退款,处理退款,20221219 16:07:40
用户寄回：，支付宝，虞先行辛苦留意签收以及运费处理,反馈处理，用户离线,20221122 20:44:40
多功能养生壶不会加热了，怎么办？,为您反馈商家哦,20221118 13:59:41
我去年续会费，赠送的多功能电热壶坏了，哪里可以维修？,帮您尽快反馈商家核实一下是否解决：,20221118 09:16:13
用户催促要求尽快发货,实物商品将在付款后48小时左右发货，受疫情影响，可能存在延缓发货/配送、商品无货的情况，收货地区仅限中国大陆地区，暂不支持港澳台地区及海外用户收货，给您带来的不便敬请谅解，感谢您的理解!,20221206 18:49:31
退货那个我能寄顺丰吗，其他快递取件都拖拖拉拉的,查看是运费麻烦您先行垫付，（三通一达快递均可，库房拒收到付件,20221209 18:31:39
耳机左右耳都能单独使用么,耳机连接成功后将一只耳机放入充电仓即可使用另一只耳机收听,20221205 16:19:58
什么时候发货,实物商品将在付款后48小时内发货，收货地区仅限中国大陆地区，暂不支持港澳台地区及海外用户收货，受疫情影响可能延缓发货，还请您了解，催促,20221214 08:35:38
什么时候发货,商家回复地址停发可以邮寄的时候会第一时间寄出的哦,20221216 10:13:04
需要修改地址：安徽省合肥市经济技术开发区坝下路云峰花园商业S2-107俊家房产,登记修改,20221101 19:01:08
"我这个订单地址需要修改，【新品首发,买1得2】喜马拉雅2023声音日历+VIP年卡会员（会员直充,日历11月3日起发货）",具体地址信息,20221101 17:45:32
用户反馈买的耳机一个灯一直亮关不了,告知联系商家核实私信,20230428 14:50:50
商品科颜氏精华，是正品吗,售卖的商品都是有保障,20221210 19:24:36
这个补发快递没有物流信息中通，,这边反馈商家核实一下呢是否解决：,20221112 21:21:07
售后怎么不处理,退款1-3个工作日处理,20221206 15:31:34
这个课，包含书的便宜些，没有书的反而贵些，有什么不一样吗,都是一样的哦是否解决：,20230122 09:56:07
用户催促发货辛苦处理,请您不要着急，小喜非常理解您的心情，我们一定会竭尽全力为您解决的。,20221206 19:40:06
我买的这款面膜使用49块钱加积分买的，现在短信提醒让我退款，那积分那怎么退,辛苦您提供下短信截图呢,20230208 20:38:48
黄帝内经哪个版本好,可以在商品详情页面具体看下,20221224 12:37:12
喜马拉雅联合keep的那个套餐需要发货的吗,喜马拉雅&keep礼盒是实物商品，仓库发货的,20230119 10:06:55
购买的耳机怎么还没有发货已经好几天了,喜猫儿92419:04:10是否解决：,20221201 21:22:09
实物商品物流不更新,已告知物流信息,20230102 14:43:31
这个球拍带球吗,商品截图提供下,20230107 12:48:49
催促发货,已钉钉群催促,20230425 11:34:36
台历到了目的城市三天了，还没有派送，也没有更新物流信息,联系负责的人员核实催促下物流情况确认后私信回复,20230104 09:36:33
用户反馈自己从微信买了个波波球，找不到订单在哪里所属供应商名称：,排查中用户自行离线,20230420 15:08:36
用户称物流一直未更新辛苦处理,这边为您催促一下,20221216 22:50:33
你好，这个快递到蚌埠几天了，为什么没人配送啊,这边帮您反馈商家联系快递催促下哦,20221219 20:59:32
现在在喜马商城上购买蓝牙耳机，年前还能到货不,您好，受全国春运及疫情的影响，商城中的商品将在春节期间（1月10日-1月30日）暂停发货，从1月30日起恢复正常，陆续开始发货~,20230115 13:06:22
请问可有天猫精灵音箱售卖,小喜查看了下平台暂时无天猫精灵售卖呢,20230122 11:51:12
我买的蓝牙耳机经常断开,排查后告知辛苦麻烦您在订单页面申请一下售后呢,20221223 15:42:11
这俩个到现在都没发货,帮您催促下的呢，一定尽快发货,20221229 16:50:26
催促退款,催促,20221108 15:57:20
申请退款,已发钉钉群申请,20230303 21:59:32
我刚买的订单，我想退了就是漫步着耳机加年会员,辛苦您在我的-全部服务-订单页面申请退款的哦,20230303 18:07:19
你好啥时候发货,这边为您催促一下呢~辛苦麻烦您后续关注一下订单页面物流是否更新呢~,20221215 20:15:50
买的东西为什么一直不发货呢？,疫情原因发货会有延迟的，辛苦耐心等待下，已催促,20221212 12:09:52
这个退款得什么时候到账,帮您登记哦1-3个工作日到账是否解决：,20221205 16:25:23
想问下这个货品退款多久到账,申请退款之后1-3个工作日处理,20221205 09:59:12
快递已经写签收。没收到货。也没发信息给我。,联系电话：18521198438您可以和快递点核实一下呢~亲亲,20221104 17:29:57
用户反馈物流显示签收实际未收到,反馈商家核实,20230214 23:10:52
这里面卖的书，都是正版吗？,平台一般是48小时内发货的呢是的呢是否解决：,20230311 15:00:57
地址深圳市选择不了,页面上显示上截图下的，,20230421 22:05:22
地址深圳市选择不了,往上滑动查看一下呢,20230421 22:11:39
你好！我购一飞机多功能铅笔刨：货没有发．我要退款,为您反馈处理退款辛苦您后续注意查收哦,20221202 16:13:07
蓝牙耳机质保多久,这边尽快反馈有回复给您短信告知哦是否解决：,20221119 17:47:46
已解封需要补发,申请补发,20221107 23:22:39
礼盒里面的keep会员和喜马拉雅会员可以在两个不同的手机号上兑换吗,不支持,20230123 10:33:33
一年会员加耳机套餐是一对耳机还是两对电商无所属供应商名称：无$xxxxxx公司$,是一个耳机的,20230320 23:52:44
还没发货吗？,为您催促的,20230103 15:39:53
这个能不能发货？,因元旦厂家休息，需要等待1月3号尝试发出，还请您耐心等待一下,20230102 08:31:41
大概能多久发货？,实物商品将在付款后48小时内发货，收货地区仅限中国大陆地区，暂不支持港澳台地区及海外用户收货，受疫情影响可能延缓发货，还请您了解,20221231 18:02:34
用户催促发货,催促,20221231 18:25:36
催促发货,催促厂家,20230103 08:49:06
咨询发货,催促厂家发货,20230101 18:25:43
什么时候发货？,这边核实因元旦厂家休息，需要等待1月3号尝试发出，还请您耐心等待一下,20230101 20:54:28
查到了吗，为啥只有锅铲,商品是分开发货，中通78634425170683锅铲、中通78634441317586三件套还没有送到，还请您等待一下物流到达配送,20221117 22:54:25
耳机要充满电才能配对的吗？我刚刚充了会电，然后一直连接不上,辛苦麻烦您充会电后尝试一下呢亲亲如依旧无法连接录制一下故障的视频发送给小喜呢,20230103 21:53:17
我买的东西，10多天没发货，，嘿豹特工充电器,反馈商家催促发货,20221225 14:28:13
和和和和和退款,这边为您处理，辛苦麻烦您后续关注一下私信或者短信呢,20221227 13:56:43
取消下订单吧，我申请退款了，会员不要了【万物声】的店铺,已反馈退款已私信,20230412 10:25:16
算了，我不要了退款吧！,如果寄出反馈拦截商品哦,20221206 15:57:12
退款已告知今天在派送已不支持退款了哦用户不认可说退不了我就拒收，已再次反馈商家,为用户申请,20230130 14:47:54
一个月未发货怎么退货,核实订单有发货提供物流截图,20230130 16:14:32
用户称物流一直未更新，要求催促尽快处理辛苦核实,这边为您催促一下呢,20230103 17:16:42
未发货,催促,20221211 17:40:17
来自商家:鸣奇科技（广州）有限公司退货寄回单号：显示已签收用户申请退款，辛苦核实是否收到，是否可退,反馈,20230412 12:53:21
这个是正品保真吧，不拆封，如果觉得有问题可以退吧电商,商城购买的产品都是有质保的哦，后续您遇到任何问题可随时联系小喜协助您处理哦,20230324 13:27:53
马拉雅×keep能量礼盒是从哪发货的？,从上海发出哦是否解决：,20230117 17:27:59
买的耳机一个星期还没有到，查看物流上面显示等待收揽，也没有显示地方,催促下,20230201 21:47:01
请问濮哥读美文里有星云大师的除夕祈愿文这篇吗,您能否页面截图帮您看下呢用户离线,20230413 11:00:22
订单退款怎么还没好,这边为您处理~辛苦后续关注一下退款是否到账呢~,20221208 12:13:49
暖风机只吹冷风，没有热风,核实后短信回复,20230113 18:47:21
这个的单号,JD0089152180917,20221118 19:37:55
需要退款,处理退款,20221101 20:09:06
请问狂飙这本书现在有现货吗？,下单页面显示库存不足的话暂时没货呢，目前还未接到通知呢如可以正常下单的话是会在48小时左右发货的呢,20230203 12:07:25
养生壶，现在下单发货吗,受全国春运及疫情的影响，商城中的商品将在春节期间（1月10日-1月30日）暂停发货，从1月30日起恢复正常，陆续开始发货~,20230123 20:49:36
物流不更新,这边反馈商家催促下,20230108 19:17:38
我有一单退货现在还没退款,铁观音这笔订单吗,20230109 23:11:36
有个电动牙刷坏了过保了自费维修可以吗,尊敬的喜马拉雅用户您好，关于您反馈的牙刷问题，目前已过保不支持维修，建议您付费换新的。感谢您的支持，祝您生活愉快！,20230419 00:29:28
退货地址是什么,等待退款审核通过后，辛苦您在我的-全部服务-订单页面会看到退货地址的,20230426 22:18:59
还未发货商名称：$安徽聚悦电子商务有限公司）$,一般下单48小时内即可发出的小喜这边也会进行下催单,20230422 18:03:52
电商所属供应商名称：北京网聚迪信优品互联网科技有限公司,将在下单后48小时内发货，如超过13:35仍未发货，您可再次联系我们反馈商家核实的呢,20230320 13:23:54
电商为啥还不发货,将在下单后48小时内发货，辛苦您耐心等待呢,20230319 14:43:20
我和订单给我退了,1-3个工作日到账哦是否解决：,20221227 18:49:10
我的会员时间为什么还剩三天这里面不是有个年卡吗,需要您收到实体卡激活哦是否解决：,20221227 18:48:23
这里包括喜马拉雅年卡吗,这个包含的哈是否解决：,20221227 15:02:53
有一个我退的,退款1-3个工作日处理的,20221227 16:10:01
订单半个月过了还没动静,之前由是于疫情原因目前已正常运输中,20221031 14:49:00
已经过去好久了，不发货就退了吧,发群,20230110 18:59:07
请问那些书有很多版本的吗我看到很多类型的,您提供下截图呢,20230107 08:06:06
物流未更新,正在邮寄当中呢~,20221204 17:47:49
修改地址：广西南宁市西乡塘区北湖北路北湖村七冬坡182号,登记修改,20230215 15:51:30
一直未发货,截图告知已发货的哦，物流单号：9772884594273，辛苦您留意关注下的哦,20230416 09:12:18
退款,退款预计1-3个工作日原路返回到账，您注意查收。,20221130 16:26:38
天气丹保正品吗,喜马拉雅官方商城内售卖的都是正品的呢,20230306 18:48:42
能便宜一点吗电商,核实中离线,20230329 22:07:33
面的口味可以搭配吗,已页面显示的规格为准页面未显示就是不支持的,20221124 14:17:45
我想问一下我买的口红能不能确定是正品，我准备下单,商城购买的东西都是有质保的哦，有问题您可以随时联系我们的,20230308 13:06:44
烟台芝罘区鲁峰街馨逸家园小区74-5.手机，按新地址派送吧,告知仓库,20230116 11:53:01
请问可以朋友代支付我没有支付方式,不支持代付哦辛苦您已页面显示为准是否解决：,20230129 22:00:22
我的订单物流到哪了,物流单号：9870494264826发送物流截图,20230307 09:04:21
查看订单去了哪里了？,"显示派送当中投递员:王伟,电话:15135089601,揽投部电话:0354-4634270",20230306 13:50:40
我的订单去哪里了,中转途中,20230306 12:09:55
我的订单，要退款，，森宝欧式炭烧腰果470g,已处理,20230226 11:24:19
去年10月或者11月买的之前说给我补偿三个月会员我没有回复也没给我补偿,帮其申请,20221204 20:12:00
蓝牙连不上，连上就断了我录什么视频蓝牙闪退怎么录视频电商,已将视频发送钉钉群,20230324 11:05:08
我有280积分，兑换一个200积分的东西可以多扣积分不扣钱吗？,不可以的呢，具体的扣费规则具体以页面显示为准,20221230 17:33:04
我多久能收到,这边为您催促一下呢，辛苦麻烦您后续关注一下订单页面物流是否正常呢,20221222 23:05:20
质量问题，穿着不舒服，有点扎皮肤，退货需要卖家承担运费电商,已反馈钉钉群，有结果私信或者短信,20230330 23:02:42
现在买东西现在还发货吗,实物商品将在付款后48小时内发货，收货地区仅限中国大陆地区，暂不支持港澳台地区及海外用户收货，受疫情影响可能延缓发货，还请您了解受全国春运及疫情的影响，商城中的商品将在春节期间（1月10日-1月30日）暂停发货，从1月30日起恢复正常，陆续开始发货~,20230108 21:45:56
店铺名称：北京启蒙好业科技发展有限责任公司催发货,已发群,20230426 12:15:59
我买的枕头早就退货到商家那了，钱还不到账电商所属供应商名称：上海魅都纺织品有限公司,已发群,20230327 09:58:10
卫生纸一直不发货，申请退款也没反应,催促退款,20221115 11:50:10
漫步者耳机有运费险吗,没有的,20230202 14:48:57
物流信息,这边帮您催促下的呢，一定尽快解决,20230204 09:40:00
咋还不发货？,1月30日起恢复正常，陆续开始发货哦,20230128 18:09:33
退款,这边为您处理~辛苦后续关注一下退款是否到账呢~,20221205 21:36:25
我到货的话可以退货吗？不满意的情况下,影响二次销售是无法退货的哦,20230209 23:29:28
我买的这个表能送货到家里面吗？,具体根据物流那边的哦，派送中您可以联系快递那边咨询下呢,20230210 08:46:32
我有个发票修改了没发给我,开票申请提交后，电子发票3个工作日内寄出，纸质发票30个工作日内寄出；,20230424 11:54:20
（来自商家:北京网聚迪信优品互联网科技有限公司），，用户要修改地址，快递员说需要商家同意，辛苦看下，用户新地址：湖南省长沙市天心区解放西路269号三王丽都大厦西座，辛苦处理,反馈，用户离线是否解决：,20230214 09:06:39
现在耳机是红灯，充好之后是绿灯吗？,需要反馈商家核实下哦,20221102 15:48:33
书已经发回什么时候发新书寄回单号：,催促下发出,20221125 22:08:07
之前有一本书破损已经寄回了,辛苦您关注物流信息签收之后进线联系客服哦,20221120 13:16:20
这个书收到了但是挤压变形了可以退换么,这边反馈商家核实一下哦是否解决：,20221113 21:44:37
用户催促一直未发货，辛苦核实下是否可以正常发出,催促，用户离线是否解决：,20221229 21:36:40
没货也不显示缺货，一直不备货呢,小喜暂未接到通知，以页面显示为准的哦,20221102 17:27:23
耳机已经退了，发的顺风,为您反馈哦辛苦您关注下物流信息哦这个显示签收之后联系客服‘’,20221101 09:52:44
商品未发货申请退款,这边核实您已申请退款，后续会尽快处理完成退款到账,20230311 09:53:16
哪天发货,之后您点击喜马拉雅APP[我的-全部服务-订单]可关注物流的受全国春运及疫情的影响，春节期间发货时效不保证，较慢,20230123 10:16:04
物流3天没更新了？，,告知物流情况,20230218 13:51:18
帮忙查下快递今天能送到吗,辛苦您确认下是否有收到过派送消息,20221221 11:44:52
商家还没审核,已催促,20230413 14:45:26
寄回地址是什么,已反馈钉钉群有结果私信,20230413 15:20:23
提供了寄出单号,备注咨询单,20230414 10:05:25
需要退款邮寄快递,需等候审核通过后获取到对应商品的售后地址信息进行寄出的,20230412 17:49:25
催促退款到账,已退款,20230422 15:38:46
我搞不清，你们发了短信是不是就可以寄出来了浙江栐励商贸有限公司,浙江省金华市义乌市江东街道通宝路151号3号楼6楼黄磊15395797745拒收顺丰和到付纸条备注退货原因寄回商品保证包装完好,20230413 22:01:44
补偿运费,已钉钉核实,20230422 16:35:24
邮费催一下,催促时查看已有回复已打款，后续已私信,20230423 21:21:47
我拍的那本书什么时候发货具体时间,帮您催促一下商家哦是否解决：,20221117 11:50:16
订单退款需要同意,帮您登记退款哦1-3个工作日到账是否解决：,20221119 18:17:42
这个有防伪证明吗？,告知需要信息是要反馈的，用户未确认离线,20221215 15:32:05
我想问一下我订单里的养生壶是不给发了吗,养生壶受疫情影响，暂时无法发出，可以发出是会及时安排的,20221129 16:16:54
退款,辛苦后续关注一下退款是否到账,20221124 16:12:22
需要刻字：戴致远青春须早为岂能长少年,用户离线，私信,20221121 19:10:15
你好，今天有快递员给我打电话说上门来取件，请问下是他们来把货物给退了，我就把东西直接给他们就是了是吧？,快递员会联系您上门取件的,20230103 21:20:32
一个多星期了还没到货，新款无线蓝牙耳机挂脖运动立体声降噪插内存卡颈挂式耳机通,小喜这边会进行加急催促物流,20230225 10:48:50
我想问一下物流是极兔么？,中通快递哦是否解决：,20230116 23:04:46
我购买会员的时候赠送的耳机只有一边有声音了,提供账单。完整账单离线,20230123 09:12:05
退回的耳机收到了吗,显示还未签收哦,20230308 21:37:07
我想问下购买韩雪讲给孩子得20本名著，199远是讲10本然后还赠送10笨实体书吗？,麻烦您把商品标题截图一下呢这边反馈商家核实一下呢,20230318 13:38:32
